question,option A,option B,option C,option D,answer,explanation
文章中の『まなざしの枠組はキハンや様式といった』における「キハン」の「キ」と同じ漢字を含むものを選べ。,キカクの製品を販売する。,キセンを制して有利に立つ。,キリツを守って行動する。,キトクな志に感銘を受ける。,C,正解はC（規律）。A:規格、B:機先、D:奇特。
文章中の『観光者は「演出」にアきたらずその「舞台裏」を見たがる』における「アきたらず」の「ア」と同じ漢字を含むものを選べ。,食料のホウショクが問題となる。,ホウフな知識を持っている。,ホウコウを定めて進む。,ホウカイの危険が迫る。,A,正解はA（飽食）。B:豊富、C:方向、D:崩壊。
文章中の『ブーアスティンの嘆きをジダイサクゴと笑うことはたやすい』における「ジダイサクゴ」の「サク」と同じ漢字を含むものを選べ。,サクセンを立てて試合に臨む。,サクソウした事態を収拾する。,サクゲンの目標を達成する。,サクジョの処理を行う。,B,正解はB（錯綜）。A:作戦、C:削減、D:削除。
文章中の『大小の家々がカタを寄せ合う路地奥にあった』における「カタ」と同じ漢字を含むものを選べ。,ケンキャクを誇る,徒手クウケンで海外に行く,ケンジツな商売を始める,英語力で彼にヒケンする者はいない,D,正解はD（比肩）。本文のカタは「肩」。A:健脚、B:空拳、C:堅実。
文章中の『陽をスかしてざわめく葉のきらめき』における「スかして」の「ス」と同じ漢字を含むものを選べ。,美しい音楽にトウスイする,犯人のトウボウを防ぐ,アイトウの意を表する,民主主義がシントウする,D,正解はD（浸透）。本文のスは「透かす」。A:陶酔、B:逃亡、C:哀悼。
文章中の『他トリョウのはげたガードレールや』における「トリョウ」の「ト」と同じ漢字を含むものを選べ。,薬を傷口にトフする,胸のうちをトロする,ゼント有望な若者,南蛮トライの品,A,正解はA（塗布）。本文のトは「塗料」。B:吐露、C:前途、D:渡来。
文章中の『生のコンカンに関わるものとしてある』における「コンカン」の「カン」と同じ漢字を含むものを選べ。,カンデンチを購入する,キカン産業に投資する,カンヨウクを覚える,山をカンツウするトンネル,B,正解はB（基幹）。本文のカンは「根幹」。A:乾電池、C:慣用句、D:貫通。
文章中の『価値シャクドや概念的枠組が他者と共有されている』における「シャクド」の「シャク」と同じ漢字を含むものを選べ。,無断でシャクヨウする,五万分の一のシュクシャク,シャクメイを求められる,方角をジシャクで調べる,B,正解はB（縮尺）。本文のシャクは「尺度」。A:借用、C:釈明、D:磁石。
文章中の『レビュー欄にケイサイされているこの演奏の』における「ケイサイ」の「ケイ」と同じ漢字を含むものを選べ。,名著にケイハツされる,連絡事項をケイシュツする,方針転換のケイキになる,一族のケイズを作る,B,正解はB（掲出）。本文のケイは「掲載」。A:啓発、C:契機、D:系図。
文章中の『CDプレイヤーのプログラミング機能がカツヤクする』における「カツヤク」の「ヤク」と同じ漢字を含むものを選べ。,神仏のごリヤクにすがる,あの人はケンヤク家だ,面目ヤクジョの働きをする,重要なヤクショクに就く,D,正解はD（役職）。本文のヤクは「活躍」。A:利益（ご利益）、B:倹約、C:躍如。
文章中の『それに対して、このモヨオし物は「音楽」である以前に』における「モヨオし」と同じ漢字を含むものを選べ。,議案をサイタクする,サイミン効果のある音楽,カッサイを浴びた演技,多額のフサイを抱える,B,正解はB（催眠）。本文のモヨオしは「催し」。A:採択、C:喝采、D:負債。
文章中の『一九世紀的なアクヘイにすぎない』における「アクヘイ」の「ヘイ」と同じ漢字を含むものを選べ。,機会のコウヘイを保つ,心身がヒヘイする,室内にユウヘイされる,オウヘイな態度をとる,B,正解はB（疲弊）。本文のヘイは「悪弊」。A:公平、C:幽閉、D:横柄。
文章中の『シュテファン大聖堂で行われている追悼ミサであるという限りではマギれもなく』における「マギれ」と同じ漢字を含むものを選べ。,不満がフンシュツする,フンベツある大人になる,議論がフンキュウする,決算をフンショクする,C,正解はC（紛糾）。本文のマギれは「紛れ」。A:噴出、B:分別、D:粉飾。
文章中の『『ヴァーチャル・ウインドウ』のボウトウで』における「ボウ」と同じ漢字を含むものを選べ。,流行性のカンボウにかかる,今朝はネボウしてしまった,過去をボウキャクする,経費がボウチョウする,A,正解はA。本文のボウトウは「冒頭」B:寝坊、C:忘却、D:膨脹（膨張）。
文章中の『心のキンセンに耳を傾ける』における「キンセン」と同じ漢字を含むものを選べ。,ヒキンな例を挙げる,食卓をフキンで拭く,モッキンを演奏する,財政をキンシュクする,C,正解はC（木琴）。本文のキンセンは「琴線」。A:卑近、B:布巾、D:緊縮。
文章中の『一方は、いわば光のウトんじられる世界であり』における「ウト」と同じ漢字を含むものを選べ。,裁判所にテイソする,地域がカソ化する,ソシナを進呈する,漢学のソヨウがある,B,正解はB（過疎）。本文のウトは「疎んじられる」。A:提訴、C:粗品、D:素養。
文章中の『擬人化がカジョウになされている作品』における「カジョウ」の「ジョウ」と同じ漢字を含むものを選べ。,ジョウチョウな文章,予算のジョウヨ金,汚れをジョウカする,ジョウキを逸する,B,正解はB（剰余）。本文のジョウは「過剰」。A:冗長、C:浄化、D:常軌。
文章中の『心がキズついたよだかが』における「キズ」と同じ漢字を含むものを選べ。,入会をカンショウする,音楽をカンショウする,カンショウ的な気分になる,箱にカンショウ材を詰める,C,正解はC（感傷）。本文のキズは「傷」。A:勧奨、B:鑑賞、D:緩衝。
文章中の『急に変身をトげるのではなく』における「トげる」と同じ漢字を含むものを選べ。,過去の事例からルイスイする,キッスイの江戸っ子,マスイをかける,計画をカンスイする,D,正解はD（完遂）。本文のトげるは「遂げる」。A:類推、B:生粋、C:麻酔。
文章中の『ミンゾク的な心意から生まれたもので』における「ミンゾク」の「ゾク」と同じ漢字を含むものを選べ。,楽団にショソゾクする,カイゾク版を根絶する,公序リョウゾクに反する,事業をケイゾクする,C,正解はC（良俗）。本文のゾクは「民俗」。A:所属、B:海賊、D:継続。
文章中の『不安と恐怖をカンキする』における「カンキ」の「カン」と同じ漢字を含むものを選べ。,証人としてショウカンされる,優勝旗をヘンカンする,勝利のエイカンに輝く,意見をコウカンする,A,正解はA（召喚）。本文のカンは「喚起」。B:返還、C:栄冠、D:交換。
文章中の『手法をエンヨウすることにしたい』における「エンヨウ」の「エン」と同じ漢字を含むものを選べ。,鉄道のエンセンに住む,キュウエン活動を行う,雨で試合がジュンエンする,エンジュクした技を披露する,B,正解はB（救援）。本文のエンは「援用」。A:沿線、C:順延、D:円熟。
文章中の『時間をヘダてることで大きく変貌してしまう』における「ヘダてる」と同じ漢字を含むものを選べ。,敵をイカクする,施設のカクジュウをはかる,外界とカクゼツする,海底のチカクが変動する,C,正解はC（隔絶）。本文のヘダてるは「隔てる」。A:威嚇、B:拡充、D:地殻。
文章中の『「私」をトウエイした存在としてあらわれる』における「トウエイ」の「トウ」と同じ漢字を含むものを選べ。,意気トウゴウする,トウチ法を用いる,電気ケイトウが故障する,強敵を相手にフントウする,A,正解はA（投合）。本文のトウは「投影」。B:倒置、C:系統、D:奮闘。
文章中の『発展成長する動的過程をソクシンするための』における「ソクシン」の「ソク」と同じ漢字を含むものを選べ。,組織のケッソクを固める,距離のモクソクを誤る,消費の動向をホソクする,返事をサイソクする,D,正解はD（催促）。本文のソクは「促進」。A:結束、B:目測、C:捕捉
文章中の『ケアの方針を決定するケンゲンが渡された』における「ケンゲン」の「ケン」と同じ漢字を含むものを選べ。,タイガンまで泳ぐ,環境保全にシュガンを置く,セイリョクケンを広げる,国語のヘンサチが上がった,C,正解はC（勢力圏）。本文のケンは「権限」。A:対岸、B:主眼、D:偏差値。
文章中の『身につけられる能力がカタヨって特定の作業所に』における「カタヨって」と同じ漢字を含むものを選べ。,雑誌をヘンシュウする,世界の国々をヘンレキする,図書をヘンキャクする,国語のヘンサチが上がった,D,正解はD（偏差値）。本文のカタヨっては「偏って」。A:編集、B:遍歴、C:返却。
文章中の『レジリエンスは、ある種のはガンケンさを意味し』における「ガンケン」の「ガン」と同じ漢字を含むものを選べ。,ドリルでガンバンを掘る,勝利をキガンする,ガンキョウに主張する,癌治療の研究が進む,C,正解はC（頑強）。本文のガンは「頑健」。A:岩盤、B:祈願、D:癌。
文章中の『個別の文章や単語をタンネンに検討していけば』における「タンネン」の「タン」と同じ漢字を含むものを選べ。,イッタン休止する,タンレンを積む,タンセイを込める,タンカで運ぶ,C,正解はC（端正/端誠）。本文のタンは「端念」。A:一旦、B:鍛錬、D:担架。
文章中の『ごくバクゼンと「よろしくお願いします」というのは』における「バクゼン」の「バク」と同じ漢字を含むものを選べ。,バクガからビールが作られる,サバクの景色を見る,ジュパクから解き放たれる,観客がバクショウする,B,正解はB（砂漠）。本文のバクは「漠然」。A:麦芽、C:呪縛、D:爆笑。
文章中の『この種の注がヒンシュツするとどうも興ざめ』における「ヒンシュツ」の「ヒン」と同じ漢字を含むものを選べ。,ヒンシツを管理する,カイヒン公園で水遊びをする,ヒンパンに訪れる,ライヒンを迎える,C,正解はC（頻繁）。本文のヒンは「頻出」。A:品質、B:海浜、D:来賓。
文章中の『非常に奇妙にヒビくはずである』における「ヒビく」と同じ漢字を含むものを選べ。,物資をキョウキュウする,ギャッキョウに耐える,他国とキョウテイを結ぶ,エイキョウを受ける,D,正解はD（影響）。本文のヒビくは「響く」。A:供給、B:逆境、C:協定。
文章中の『話し言葉としてアットウ的に自然なのは前者のほうであって』における「アットウ」の「トウ」と同じ漢字を含むものを選べ。,現実からトウヒする,ジャズ音楽にケイトウする,トウトツな発言をする,シュウトウに準備する,B,正解はB（傾倒）。本文のトウは「圧倒」。A:逃避、C:唐突、D:周到。
文章中の『イショウ・考案・立案すること』における「イショウ」の「ショウ」と同じ漢字を含むものを選べ。,コウショウな趣味を持つ,演劇界のキョショウに会う,出演料のコウショウをする,課長にショウカクする,B,正解はB（巨匠）。本文のショウは「意匠」。A:高尚、C:交渉、D:昇格。
文章中の『危険地帯でフみ込めない』における「フみ」と同じ漢字を含むものを選べ。,株価がキュウトウする,役所で不動産をトウキする,前例をトウシュウする,ろくろでトウキをつくる,C,正解はC（踏襲）。本文のフみは「踏み」。A:急騰、B:登記、D:陶器。
文章中の『カワいた砂の温度に耐えられない』における「カワいた」と同じ漢字を含むものを選べ。,渋滞をカンワする,新入生をカンゲイする,難題にカカンに挑む,カンデンチを買う,D,正解はD（乾電池）。本文のカワいたは「乾いた（干いた）」。A:緩和、B:歓迎、C:果敢。
文章中の『自然のセツリが創り上げた』における「セツリ」の「セツ」と同じ漢字を含むものを選べ。,栄養をセッシュする,予算のセッショウをする,セットウの罪に問われる,セツジョクをはたす,A,正解はA（摂取）。本文のセツは「摂理」。B:折衝、C:窃盗、D:雪辱。
文章中の『十五年でバイゾウするという速度で』における「バイゾウ」の「バイ」と同じ漢字を含むものを選べ。,細菌バイヨウの実験,旧にバイしたご愛顧,裁判におけるバイシン制,事故のバイショウ問題,B,正解はB（倍）。本文のバイは「倍増」。A:培養、C:陪審、D:賠償。※原題は5択（⑤旧に倍した＝正解）ですが、4択フォーマットに合わせて調整しています。
文章中の『さまざまなヨウインが絡んで生じている』における「ヨウイン」の「イン」と同じ漢字を含むものを選べ。,不注意にキインした事故を防ぐ,ゴウインな勧誘に困惑する,コンイン関係を結ぶ,インボウに巻き込まれる,A,正解はA（起因）。本文のインは「要因」。B:強引、C:婚姻、D:陰謀。
文章中の『発表するかいなかという選択の際にヤッカイな』における「ヤッカイ」の「ヤク」と同じ漢字を含むものを選べ。,ごリヤクがある,ツウヤクの資格を取得する,ヤクドシを乗り切る,ヤッキになって反対する,C,正解はB（厄年）。本文のヤクは「厄介」。A:利益、B:通訳、D:躍起。
文章中の『実験の失敗がセンコクされる』における「センコク」の「コク」と同じ漢字を含むものを選べ。,上級裁判所へのジョウコク,コクメイな描写,コクビャクのつけにくい議論,コクソウ地帯,A,正解はA（上告）。本文のコクは「宣告」。B:克明、C:黒白、D:穀倉。
文章中の『反科学主義という病理はイやされるという』における「イやされる」と同じ漢字を含むものを選べ。,物資をクウユする,ヒユを頻用する,ユエツの心地を味わう,ユチャクを断ち切る,D,正解はD（癒着）。本文のイやされるは「癒やされる」。A:空輸、B:比喩、C:愉悦。※原題は5択（⑤教諭）ですが、4択フォーマットに合わせて調整しています。
文章中の『表面的な態度を取りツクロうことは』における「ツクロう」の「ツクロ」と同じ漢字を含むものを選べ。,収益のゼンゾウを期待する,事件のゼンヨウを解明する,建物のエイゼン係を任命する,学生ゼンとしたよそおい,C,正解はC（営繕）。本文のツクロは「繕う」。A:漸増、B:全貌、D:然。
文章中の『文脈へとそれらをシュウソクさせていこうとする』における「シュウソク」の「ソク」と同じ漢字を含むものを選べ。,度重なるハンソクによる退場,健康をソクシンする環境整備,ヘイソクした空気の打破,ソクバクから逃れる手段,D,正解はD（束縛）。本文のソクは「収束」。A:反則、B:促進、C:閉塞。
文章中の『私達の日々の生活をカエリみても』における「カエリみても」の「カエリ」と同じ漢字を含むものを選べ。,コイか過失かという争点,コシキゆかしき伝統行事,一同をコブする言葉,コリョの末の優しい言葉,D,正解はD（顧慮)。本文は「顧みる」　（A:故意、B:古式、C:鼓舞）
文章中の『人間関係の破綻をカイヒし』における「カイヒ」の「カイ」と同じ漢字を含むものを選べ。,海外のタイカイに出場する,タイカイに飛び込み泳ぐ,方針を一八〇度テンカイする,天使がゲカイに舞い降りる,C,正解はC（展回）。本文のカイは「回避」。A:大会、B:大海、D:下界。
文章中の『複雑さをシュクゲンすることで』における「シュクゲン」の「シュク」と同じ漢字を含むものを選べ。,前途をシュクして乾杯する,シュクシュクと仕事を進めた,シュクテキを倒す日が来た,キンシュク財政を守る,D,正解はD（緊縮）。本文のシュクは「縮減」。A:祝、B:粛々、C:宿敵。
文章中の『タイガイは過去のどこかに参照点がある』における「タイガイ」の「ガイ」と同じ漢字を含むものを選べ。,会議のガイヨウをまとめる,ブスイなふるまいに閉口する,制度がケイガイと化す,不正を行った者をダンガイする,A,正解はA（概要）。本文のガイは「大概」。B:無粋、C:形骸、D:弾劾。
文章中の『思考のためのジュンタクな資産がある』における「ジュンタク」の「ジュン」と同じ漢字を含むものを選べ。,水をジュンカンさせる装置,温暖でシツジュンな気候,ジュンキョウシャの碑,夜間にジュンカイする警備員,B,正解はB（湿潤）。本文のジュンは「潤沢」。A:循環、C:殉教者、D:巡回。
文章中の『というタンテキな事実を認めるしかない』における「タンテキ」の「タン」と同じ漢字を含むものを選べ。,コタンの境地を描いた小説,ダイタンな意見の表明,一連の事件のホッタン,真相のあくなきタンキュウ,C,正解はC（発端）。本文のタンは「端的」。A:枯淡、B:大胆、D:探求。
文章中の『過去の誰かにカナでられていたとしても』における「カナで」と同じ漢字を含むものを選べ。,事件のソウサが続く,ソウガンキョウで鳥を観察する,在庫をイッソウする,国王に意見をソウジョウする,D,正解はD（奏上）。本文のカナで（は）「奏で（られ）」。A:捜査、B:双眼鏡、C:一掃。